regio2,totalRent,balcony,livingSpace,noRooms
Stuttgart,1380.0,1,60.0,2.0
Stuttgart,570.0,0,14.0,1.0
Stuttgart,1980.0,1,129.0,3.5
Köln,1824.0,0,96.0,3.0
Stuttgart,650.0,0,68.0,3.0
Stuttgart,3390.0,1,183.0,4.0
Stuttgart,2250.0,1,87.0,3.0
Köln,1173.0,1,104.3,4.0
Stuttgart,920.0,1,76.0,3.0
Köln,1080.0,0,115.0,3.0
Köln,1230.0,1,73.0,3.0
Köln,740.0,0,58.0,3.0
Köln,603.69,0,46.99,2.0
Köln,1650.0,1,107.5,4.0
Köln,1990.0,1,101.0,3.0
Köln,1540.0,1,98.0,3.0
Köln,640.0,0,51.0,1.0
Stuttgart,3000.0,1,154.0,4.0
Stuttgart,1690.0,0,65.0,3.0
Köln,520.0,0,38.0,1.0
Köln,1400.0,1,70.0,3.0
Köln,1150.0,1,90.0,2.0
Stuttgart,1120.0,0,48.0,2.0
Köln,985.0,1,71.0,2.0
Köln,948.0,1,51.0,2.0
Köln,1320.0,1,90.0,3.0
Stuttgart,2250.0,1,90.0,3.5
Köln,1230.0,1,89.0,3.0
Stuttgart,1750.0,1,86.0,3.0
Köln,910.0,1,65.0,2.0
Köln,849.0,1,67.0,3.0
Köln,800.0,0,20.0,1.0
Köln,825.0,0,52.0,2.0
Köln,945.0,1,62.0,2.0
Köln,720.0,0,61.0,2.0
Köln,1347.0,1,142.29,3.0
Stuttgart,880.0,0,16.0,1.0
Köln,535.0,0,22.0,1.0
Köln,1000.0,1,58.0,2.0
Stuttgart,1810.0,1,102.0,2.0
Köln,1965.0,1,104.11,3.0
Stuttgart,900.0,1,50.0,2.0
Stuttgart,2640.0,1,100.0,2.0
Stuttgart,525.0,0,30.0,1.0
Köln,1350.0,1,87.0,2.0
Stuttgart,2095.0,1,105.0,4.0
Stuttgart,790.0,0,24.0,1.0
Köln,1738.0,1,124.52,4.0
Köln,650.0,0,54.0,2.0
Köln,1600.0,1,102.0,3.0
Stuttgart,555.0,1,24.0,1.0
Köln,1440.0,1,100.0,4.0
Stuttgart,1675.0,0,100.0,3.5
Köln,834.3,1,67.61,2.0
Stuttgart,1050.0,1,93.0,3.0
Stuttgart,2224.0,1,98.0,2.0
Köln,1190.0,1,45.0,1.5
Stuttgart,1590.0,1,64.0,2.0
Köln,794.0,0,58.2,2.0
Köln,780.0,0,60.0,2.0
Stuttgart,1690.0,1,60.0,2.0
Stuttgart,950.0,1,49.0,2.0
Köln,640.0,1,37.0,1.0
Köln,300.0,1,18.0,1.0
Köln,1340.0,1,50.0,2.0
Köln,1260.0,1,90.28,3.0
Köln,923.0,1,65.0,2.0
Köln,535.0,1,25.0,1.0
Köln,2870.0,1,154.0,4.0
Stuttgart,1150.0,1,30.0,1.0
Köln,741.0,1,58.5,2.0
Köln,770.0,1,66.5,2.0
Köln,1138.0,1,94.0,4.0
Köln,890.0,0,70.0,3.0
Köln,2880.0,1,160.0,4.0
Stuttgart,2290.0,1,110.0,3.0
Köln,700.0,1,57.0,2.0
Stuttgart,920.0,1,54.0,2.5
Köln,570.0,0,25.0,1.0
Köln,1480.0,1,73.0,1.0
Stuttgart,1040.0,0,48.0,2.0
Köln,1820.0,1,160.0,3.0
Köln,3000.0,1,142.0,3.0
Köln,916.0,1,67.4,2.0
Stuttgart,2034.44,1,100.11,3.0
Stuttgart,900.0,1,61.0,2.0
Stuttgart,1550.0,1,45.0,1.0
Stuttgart,1698.0,1,122.5,4.5
Köln,860.0,1,60.0,2.0
Stuttgart,1500.0,1,80.0,3.0
Köln,1230.0,0,61.0,2.0
